propertyCode,price,size,priceByArea,rooms,bathrooms,district,municipality,neighborhood,latitude,longitude,floor,status,newDevelopment,hasLift,numPhotos,hasVideo,url,zona_geografica,dist_centro_km,m2_por_quarto,preco_total_estimado,densidade_wc,localizacao_premium
34500036,1950000.0,406.0,4803.0,5,4,Aviz - Cristo Rei,Aldoar - Foz do Douro - Nevogilde,,41.1613719,-8.6666489,,good,False,,72,True,https://www.idealista.pt/imovel/34500036/,0,4.847465099553046,67.66666666666667,1950018.0,0.6666666666666666,0
33760910,716000.0,247.0,2899.0,4,4,Santo Ovídio - Cedro - Monte da Virgem,Mafamude e Vilar do Paraíso,,41.1168529,-8.6008206,2,good,False,True,56,True,https://www.idealista.pt/imovel/33760910/,7,3.737878770138086,49.4,716053.0,0.8,0
34393931,380000.0,115.0,3304.0,1,1,Santo Ovídio - Cedro - Monte da Virgem,Mafamude e Vilar do Paraíso,,41.1161934,-8.6016183,,good,False,True,32,True,https://www.idealista.pt/imovel/34393931/,7,3.7951087992739847,57.5,379960.0,0.5,0
33891364,1095000.0,250.0,4380.0,4,4,Fluvial,Lordelo do Ouro e Massarelos,,41.1537212,-8.6618066,,good,False,True,53,True,https://www.idealista.pt/imovel/33891364/,0,4.286794686420393,50.0,1095000.0,0.8,0
33989840,455000.0,80.0,5688.0,1,1,Foz Velha,Aldoar - Foz do Douro - Nevogilde,,41.1499102,-8.6755294,bj,good,False,False,20,True,https://www.idealista.pt/imovel/33989840/,0,5.411459537840956,40.0,455040.0,0.5,0
34491842,625000.0,264.0,2367.0,4,3,Areosa - Fernão de Magalhães,Paranhos,,41.1719906,-8.5893731,2,good,False,False,34,True,https://www.idealista.pt/imovel/34491842/,3,3.073491409486973,52.8,624888.0,0.6,0
34188297,1270000.0,181.0,7017.0,3,4,Aviz - Cristo Rei,Aldoar - Foz do Douro - Nevogilde,,41.1626451,-8.6711983,3,good,False,True,31,True,https://www.idealista.pt/imovel/34188297/,0,5.252487674844402,45.25,1270077.0,1.0,0
34041393,1200000.0,314.0,3822.0,3,4,Baixa,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Bairro das Artes,41.1484527,-8.620701,,good,False,,36,True,https://www.idealista.pt/imovel/34041393/,1,0.8304932018428508,78.5,1200108.0,1.0,1
34437324,475000.0,223.0,2130.0,3,3,Paniceiro-Viso-Meiral,Canidelo,,41.1128035,-8.6511101,bj,good,False,True,39,True,https://www.idealista.pt/imovel/34437324/,2,5.299289308654078,55.75,474990.0,0.75,0
33678213,695000.0,200.0,3475.0,3,2,Aviz - Cristo Rei,Aldoar - Foz do Douro - Nevogilde,,41.1645037,-8.6667076,3,good,False,True,33,True,https://www.idealista.pt/imovel/33678213/,0,4.957390598986668,50.0,695000.0,0.5,0
33437459,1100000.0,367.0,2997.0,4,4,Parque da Cidade - Vilarinha - António Aroso,Aldoar - Foz do Douro - Nevogilde,,41.1693472,-8.670808,,good,False,,22,True,https://www.idealista.pt/imovel/33437459/,0,5.474906679845099,73.4,1099899.0,0.8,0
34241141,688000.0,127.0,5417.0,3,3,Lavadores,Canidelo,,41.1319865,-8.6679157,1,good,False,True,29,True,https://www.idealista.pt/imovel/34241141/,2,5.160604838612673,31.75,687959.0,0.75,0
34221491,295000.0,121.0,2438.0,2,2,Candal - Regadas,Santa Marinha e São Pedro da Afurada,,41.1326581,-8.6297977,4,good,False,True,34,True,https://www.idealista.pt/imovel/34221491/,7,2.4603220590341,40.333333333333336,294998.0,0.6666666666666666,1
34643629,380000.0,200.0,1900.0,3,2,Centro,Vilar de Andorinho,,41.1128358,-8.5779793,5,good,False,True,26,True,https://www.idealista.pt/imovel/34643629/,4,4.930902496303959,50.0,380000.0,0.5,0
32930885,2000000.0,595.0,3361.0,6,5,Afurada - Arrábida - Cavaco,Santa Marinha e São Pedro da Afurada,,41.1423125,-8.6434064,,good,False,,49,True,https://www.idealista.pt/imovel/32930885/,2,2.8399451934243682,85.0,1999795.0,0.7142857142857143,1
34589709,549780.0,171.0,3215.0,3,3,Liceu - Paço do Rei,Mafamude e Vilar do Paraíso,,41.1237535,-8.6055245,,good,False,True,55,True,https://www.idealista.pt/imovel/34589709/,7,2.9090430112384635,42.75,549765.0,0.75,1
34061220,1495000.0,297.0,5034.0,4,5,Parque da Cidade - Vilarinha - António Aroso,Aldoar - Foz do Douro - Nevogilde,,41.1639568,-8.6691872,,good,False,,63,True,https://www.idealista.pt/imovel/34061220/,0,5.134292908214221,59.4,1495098.0,1.0,0
34526934,825000.0,247.0,3340.0,3,4,Salgueiros,Canidelo,,41.116006,-8.6619876,,good,False,,38,True,https://www.idealista.pt/imovel/34526934/,2,5.679821724031755,61.75,824980.0,1.0,0
34636417,580000.0,313.0,1853.0,4,4,,Águas Santas,,41.2048636,-8.587523,,good,False,,46,True,https://www.idealista.pt/imovel/34636417/,3,6.4489805116028585,62.6,579989.0,0.8,0
34658091,498500.0,272.0,1833.0,4,3,,Pedrouços,,41.1905203,-8.5833135,,good,False,,42,True,https://www.idealista.pt/imovel/34658091/,3,5.102498895936278,54.4,498576.0,0.6,0
34633662,1450000.0,290.0,5000.0,5,5,Salgueiros,Canidelo,,41.1177906,-8.6607959,,good,False,,76,True,https://www.idealista.pt/imovel/34633662/,2,5.474728597041557,48.333333333333336,1450000.0,0.8333333333333334,0
34508671,525000.0,185.0,2838.0,3,4,Hospital São João - Pólo Universitário,Paranhos,,41.1763582,-8.5919075,2,good,False,True,41,True,https://www.idealista.pt/imovel/34508671/,3,3.373521440055445,46.25,525030.0,1.0,0
34545251,1490000.0,330.0,4515.0,4,5,Foz Velha,Aldoar - Foz do Douro - Nevogilde,,41.1501156,-8.6701252,5,good,False,True,35,True,https://www.idealista.pt/imovel/34545251/,0,4.959185464209901,66.0,1489950.0,1.0,0
34127767,590000.0,171.0,3450.0,4,3,Bessa Leite,Lordelo do Ouro e Massarelos,,41.1581118,-8.6402804,3,good,False,True,36,True,https://www.idealista.pt/imovel/34127767/,1,2.63563897445297,34.2,589950.0,0.6,1
33729752,495000.0,281.0,1762.0,4,3,Parque Oriental - Azevedo,Campanhã,,41.150349,-8.5734344,,good,False,,35,True,https://www.idealista.pt/imovel/33729752/,4,3.138049030798898,56.2,495122.0,0.6,0
34711397,575000.0,105.0,5476.0,2,2,Lavadores,Canidelo,,41.1337667,-8.6694552,,good,False,True,33,True,https://www.idealista.pt/imovel/34711397/,2,5.2098616587729945,35.0,574980.0,0.6666666666666666,0
33220109,1660000.0,475.0,3495.0,5,7,Cooperativa dos Arquitectos - Fonte da Moura - Pedra Verde,Aldoar - Foz do Douro - Nevogilde,,41.1681154,-8.6634521,,good,False,,79,True,https://www.idealista.pt/imovel/33220109/,0,4.857417494427179,79.16666666666667,1660125.0,1.1666666666666667,0
34077612,825000.0,222.0,3716.0,5,5,Aviz - Cristo Rei,Aldoar - Foz do Douro - Nevogilde,,41.1609095,-8.6649182,,good,False,True,24,True,https://www.idealista.pt/imovel/34077612/,0,4.694093587964115,37.0,824952.0,0.8333333333333334,0
34291439,875000.0,230.0,3804.0,3,3,Parque da Cidade - Vilarinha - António Aroso,Aldoar - Foz do Douro - Nevogilde,,41.1682742,-8.6688302,,good,False,True,20,True,https://www.idealista.pt/imovel/34291439/,0,5.275591194810528,57.5,874920.0,0.75,0
33884079,1195000.0,322.0,3711.0,5,3,Foz,Aldoar - Foz do Douro - Nevogilde,,41.1566104,-8.6762547,,good,False,True,32,False,https://www.idealista.pt/imovel/33884079/,0,5.527045538752479,53.666666666666664,1194942.0,0.5,0
32703180,850000.0,239.0,3556.0,4,3,Parque da Cidade - Vilarinha - António Aroso,Aldoar - Foz do Douro - Nevogilde,,41.1713319,-8.6733861,,good,False,,46,True,https://www.idealista.pt/imovel/32703180/,0,5.762215316715028,47.8,849884.0,0.6,0
34472486,1075000.0,351.0,3063.0,4,5,Salgueiros,Canidelo,,41.1147442,-8.6611127,,good,False,,42,True,https://www.idealista.pt/imovel/34472486/,2,5.719000952654428,70.2,1075113.0,1.0,0
33570236,410000.0,159.0,2579.0,3,3,Santo Ovídio - Cedro - Monte da Virgem,Mafamude e Vilar do Paraíso,,41.1159117,-8.605275,4,good,False,True,19,True,https://www.idealista.pt/imovel/33570236/,7,3.775474700514657,39.75,410061.0,0.75,0
33861812,749000.0,251.0,2984.0,4,4,Sampaio-Alumiara-Verdinho,Canidelo,,41.1362697,-8.6448735,,good,False,,53,True,https://www.idealista.pt/imovel/33861812/,2,3.2078543630520198,50.2,748984.0,0.8,0
34379608,450000.0,230.0,1957.0,2,3,Coimbrões,Santa Marinha e São Pedro da Afurada,,41.1217567,-8.6322075,,good,False,,31,True,https://www.idealista.pt/imovel/34379608/,7,3.5734632394587043,76.66666666666667,450110.0,1.0,0
34647810,900000.0,340.0,2647.0,3,4,Serralves,Lordelo do Ouro e Massarelos,,41.1593359,-8.6515409,,good,False,,50,False,https://www.idealista.pt/imovel/34647810/,0,3.570643445130936,85.0,899980.0,1.0,0
33934497,550000.0,101.0,5446.0,2,2,Centro Histórico,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Rua das Flores - Mouzinho,41.1432721,-8.6136602,4,good,False,True,30,True,https://www.idealista.pt/imovel/33934497/,1,0.7406161489885029,33.666666666666664,550046.0,0.6666666666666666,1
34394389,525000.0,158.0,3323.0,4,2,Pinheiro Manso,Ramalde,,41.1618258,-8.6507394,1,good,False,False,33,True,https://www.idealista.pt/imovel/34394389/,0,3.6018097734307912,31.6,525034.0,0.4,0
34510515,1220000.0,190.0,6421.0,4,4,Matosinhos Sul - Marginal,Matosinhos e Leça da Palmeira,,41.1723265,-8.6846582,6,good,False,True,37,True,https://www.idealista.pt/imovel/34510515/,0,6.671749862457534,38.0,1219990.0,0.8,0
34550114,1395000.0,210.0,6643.0,4,4,Matosinhos Sul - Marginal,Matosinhos e Leça da Palmeira,,41.176235,-8.6828391,6,good,False,True,26,True,https://www.idealista.pt/imovel/34550114/,0,6.711043195544789,42.0,1395030.0,0.8,0
34670047,289000.0,90.0,3211.0,2,2,Areosa,Rio Tinto,,41.1855399,-8.5799256,3,good,False,True,29,True,https://www.idealista.pt/imovel/34670047/,3,4.76372041302949,30.0,288990.0,0.6666666666666666,0
34337682,749999.0,145.0,5172.0,3,3,Lavadores,Canidelo,,41.1333448,-8.6671467,4,good,False,True,34,True,https://www.idealista.pt/imovel/34337682/,2,5.044977824571817,36.25,749940.0,0.75,0
34325889,1600000.0,251.0,6375.0,3,4,Pinhais da Foz,Aldoar - Foz do Douro - Nevogilde,,41.1501503,-8.6641519,4,good,False,True,62,True,https://www.idealista.pt/imovel/34325889/,0,4.459135598770953,62.75,1600125.0,1.0,0
34080633,550000.0,144.0,3819.0,2,2,Lavadores,Canidelo,,41.1339576,-8.6688206,1,good,False,True,29,True,https://www.idealista.pt/imovel/34080633/,2,5.152667432322124,48.0,549936.0,0.6666666666666666,0
34480276,980000.0,133.0,7368.0,3,3,Lavadores,Canidelo,,41.1308802,-8.6545263,,good,False,True,58,True,https://www.idealista.pt/imovel/34480276/,2,4.204703544289632,33.25,979944.0,0.75,0
34487156,1850000.0,467.0,3961.0,4,4,Foz,Aldoar - Foz do Douro - Nevogilde,,41.161181,-8.6723841,,good,False,,30,True,https://www.idealista.pt/imovel/34487156/,0,5.3061863559007225,93.4,1849787.0,0.8,0
33157098,1600000.0,322.0,4969.0,4,5,Foz Velha,Aldoar - Foz do Douro - Nevogilde,,41.1486089,-8.6683254,bj,good,False,False,38,True,https://www.idealista.pt/imovel/33157098/,0,4.809477033854964,64.4,1600018.0,1.0,0
34034273,319000.0,90.0,3544.0,1,1,Centro de Matosinhos,Matosinhos e Leça da Palmeira,,41.180647,-8.6778324,2,good,False,True,38,True,https://www.idealista.pt/imovel/34034273/,0,6.581051353748067,45.0,318960.0,0.5,0
